task,topology_family,feature_group,drift,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,class_mae_mean,class_mae_std,adjacent_acc_mean,adjacent_acc_std
scale,gridish,Complexity,1.0,0.3831080659923539,0.023045939839940032,0.3854166666666667,0.021341538095585394,1.0996527777777778,0.08738310950923771,0.6777777777777777,0.04094671208354434
scale,gridish,Operational,0.0,0.7744710692170534,0.017647638093150012,0.7781250000000001,0.016240863475612086,0.33611111111111114,0.020756029418018424,0.9152777777777779,0.010378014709009219
scale,gridish,Operational,0.2,0.510848005513763,0.010028825823306829,0.53125,0.00995639498500306,0.663888888888889,0.029362584204493634,0.8704861111111111,0.011227448437757198
scale,gridish,Operational,0.4,0.38692492318480676,0.021095922917295076,0.41597222222222224,0.016994587817571905,0.9395833333333334,0.02665557253793479,0.7642361111111111,0.018112593904686974
scale,gridish,Operational,0.6,0.3400158919032424,0.022190855550319886,0.3684027777777778,0.017510927658138487,1.1354166666666667,0.03863036867657093,0.6767361111111111,0.01615817015073266
scale,gridish,Operational,0.8,0.3084943402705024,0.02562731241773008,0.3309027777777778,0.02044716689636467,1.2892361111111112,0.04841920895629504,0.6131944444444445,0.02078182934024392
scale,gridish,Operational,1.0,0.2939763315059132,0.030800029745187616,0.31180555555555556,0.02597341880124691,1.3538194444444445,0.0673776150712432,0.5809027777777778,0.02572726882339264
scale,gridish,Topological,0.0,0.047619047619047616,0.0,0.16666666666666669,2.925694557147251e-17,1.7333333333333336,0.31622776601683794,0.4833333333333333,0.052704627669472995
scale,gridish,Topological,0.2,0.047619047619047616,0.0,0.16666666666666669,2.925694557147251e-17,1.7333333333333336,0.31622776601683794,0.4833333333333333,0.052704627669472995
scale,gridish,Topological,0.4,0.047619047619047616,0.0,0.16666666666666669,2.925694557147251e-17,1.7333333333333336,0.31622776601683794,0.4833333333333333,0.052704627669472995
scale,gridish,Topological,0.6,0.047619047619047616,0.0,0.16666666666666669,2.925694557147251e-17,1.7333333333333336,0.31622776601683794,0.4833333333333333,0.052704627669472995
scale,gridish,Topological,0.8,0.047619047619047616,0.0,0.16666666666666669,2.925694557147251e-17,1.7333333333333336,0.31622776601683794,0.4833333333333333,0.052704627669472995
scale,gridish,Topological,1.0,0.047619047619047616,0.0,0.16666666666666669,2.925694557147251e-17,1.7333333333333336,0.31622776601683794,0.4833333333333333,0.052704627669472995
scale,line,All,0.0,0.9871593858523864,0.009519667979352161,0.9871527777777777,0.009551241220267473,0.012847222222222223,0.00955124122026748,1.0,0.0
