task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
boundary,line,6,1.0,All,0.5192263412387751,0.5972222222222222,,
boundary,line,7,0.0,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,7,0.0,Complexity,0.9304347826086956,0.9305555555555556,,
boundary,line,7,0.0,Operational,0.8606811145510835,0.8611111111111112,,
boundary,line,7,0.0,All,0.9164086687306502,0.9166666666666667,,
boundary,line,7,0.2,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,7,0.2,Complexity,0.9166023166023166,0.9166666666666666,,
boundary,line,7,0.2,Operational,0.8054054054054054,0.8055555555555556,,
boundary,line,7,0.2,All,0.9026086956521739,0.9027777777777778,,
boundary,line,7,0.4,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,7,0.4,Complexity,0.83125,0.8333333333333333,,
boundary,line,7,0.4,Operational,0.729804463756666,0.7361111111111112,,
boundary,line,7,0.4,All,0.9026086956521739,0.9027777777777778,,
boundary,line,7,0.6,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,7,0.6,Complexity,0.804953560371517,0.8055555555555556,,
boundary,line,7,0.6,Operational,0.6660617059891107,0.6805555555555556,,
boundary,line,7,0.6,All,0.8610038610038611,0.8611111111111112,,
boundary,line,7,0.8,Topological,0.8464818763326225,0.8472222222222222,,
boundary,line,7,0.8,Complexity,0.7428571428571429,0.75,,
boundary,line,7,0.8,Operational,0.6616956077630234,0.6805555555555556,,
boundary,line,7,0.8,All,0.7428571428571429,0.75,,
boundary,line,7,1.0,Topological,0.746875,0.75,,
boundary,line,7,1.0,Complexity,0.674074074074074,0.6944444444444444,,
boundary,line,7,1.0,Operational,0.625,0.6666666666666666,,
boundary,line,7,1.0,All,0.7077922077922079,0.7222222222222222,,
boundary,line,8,0.0,Topological,0.9861084314103801,0.9861111111111112,,
boundary,line,8,0.0,Complexity,1.0,1.0,,
boundary,line,8,0.0,Operational,0.9027590198726606,0.9027777777777777,,
boundary,line,8,0.0,All,1.0,1.0,,
boundary,line,8,0.2,Topological,0.9583252942311403,0.9583333333333333,,
boundary,line,8,0.2,Complexity,0.8875000000000001,0.8888888888888888,,
boundary,line,8,0.2,Operational,0.7906571040899399,0.7916666666666667,,
boundary,line,8,0.2,All,0.9722007722007722,0.9722222222222222,,
boundary,line,8,0.4,Topological,0.9164086687306502,0.9166666666666667,,
boundary,line,8,0.4,Complexity,0.8300550747442959,0.8333333333333333,,
boundary,line,8,0.4,Operational,0.7714285714285716,0.7777777777777778,,
boundary,line,8,0.4,All,0.916083916083916,0.9166666666666667,,
boundary,line,8,0.6,Topological,0.859375,0.8611111111111112,,
boundary,line,8,0.6,Complexity,0.7499489274770174,0.7638888888888888,,
boundary,line,8,0.6,Operational,0.737012987012987,0.75,,
boundary,line,8,0.6,All,0.7979149959903769,0.8055555555555556,,
boundary,line,8,0.8,Topological,0.6688963210702341,0.6944444444444444,,
boundary,line,8,0.8,Complexity,0.7163591125855276,0.7361111111111112,,
